product_id,brand_name,price_usd,primary_category
P504322,NUDESTIX,19.0,Skincare
P420652,LANEIGE,24.0,Skincare
P7880,fresh,39.0,Skincare
P218700,Josie Maran,49.0,Skincare
P248407,First Aid Beauty,38.0,Skincare
P269122,Dr. Dennis Gross Skincare,92.0,Skincare
P394639,belif,38.0,Skincare
P417238,Farmacy,36.0,Skincare
P450271,Farmacy,60.0,Skincare
P427421,Drunk Elephant,68.0,Skincare
P411387,Youth To The People,39.0,Skincare
P441644,Youth To The People,14.0,Skincare
P427417,The Ordinary,6.0,Skincare
P309308,Sunday Riley,122.0,Skincare
P411540,Dr. Jart+,52.0,Skincare
P42204,Rosebud Perfume Co.,7.0,Skincare
P471546,Dr. Jart+,21.0,Skincare
P248404,First Aid Beauty,24.0,Skincare
P443352,Dermalogica,18.0,Skincare
P423688,Dermalogica,65.0,Skincare
P421275,Peace Out,19.0,Skincare
P297524,Origins,17.0,Skincare
P394624,belif,38.0,Skincare
P429952,Summer Fridays,49.0,Skincare
P480630,Summer Fridays,26.0,Skincare
P126301,CLINIQUE,38.0,Skincare
P453816,CLINIQUE,14.0,Skincare
P456412,KORRES,28.0,Skincare
P418218,Tatcha,70.0,Skincare
P454794,Tatcha,22.0,Skincare
P122900,CLINIQUE,32.5,Skincare
P409800,SEPHORA COLLECTION,3.0,Skincare
P427419,The Ordinary,15.7,Skincare
P460779,bareMinerals,65.0,Skincare
P443563,LANEIGE,18.0,Skincare
P12573,Jack Black,10.0,Skincare
P270594,Bobbi Brown,66.0,Skincare
P392246,Drunk Elephant,90.0,Skincare
P433520,Charlotte Tilbury,100.0,Skincare
P481817,Caudalie,49.0,Skincare
P458219,Glow Recipe,34.0,Skincare
P467762,Glow Recipe,15.0,Skincare
P297516,Origins,27.0,Skincare
P454380,Supergoop!,48.0,Skincare
P470255,Supergoop!,22.0,Skincare
P442563,The Ordinary,9.5,Skincare
P480612,KORRES,38.5,Skincare
P232903,Kate Somerville,28.0,Skincare
P441101,Tatcha,70.0,Skincare
P378852,Origins,36.0,Skincare
P456207,KORRES,38.5,Skincare
P232915,Kate Somerville,98.0,Skincare
P455364,The INKEY List,11.99,Skincare
P478030,The INKEY List,5.99,Skincare
P422905,belif,48.0,Skincare
P430337,OLEHENRIKSEN,51.0,Skincare
P302103,fresh,28.0,Skincare
P439061,OLEHENRIKSEN,35.0,Skincare
P375849,SK-II,245.0,Skincare
P426183,SK-II,99.0,Skincare
P456398,Shiseido,50.0,Skincare
P94421,Caudalie,82.0,Skincare
P427406,The Ordinary,13.0,Skincare
P431180,Isle of Paradise,32.0,Skincare
P173726,Shiseido,13.0,Skincare
P479839,Estée Lauder,98.0,Skincare
P481084,Estée Lauder,64.0,Skincare
P426836,Drunk Elephant,34.0,Skincare
P421235,Clarins,90.0,Skincare
P4016,Murad,36.0,Skincare
P278317,First Aid Beauty,36.0,Skincare
P406712,Drunk Elephant,49.0,Skincare
P415777,Drunk Elephant,80.0,Skincare
P421996,Kiehl's Since 1851,78.0,Skincare
P422510,Kiehl's Since 1851,24.0,Skincare
P411403,IT Cosmetics,20.0,Skincare
P415771,Tatcha,110.0,Skincare
P473160,Tatcha,65.0,Skincare
P442840,Skinfix,54.0,Skincare
P461537,Tatcha,40.0,Skincare
P479860,Skinfix,20.0,Skincare
P440651,Murad,14.0,Skincare
P504595,Tatcha,18.0,Skincare
P393718,Sunday Riley,105.0,Skincare
P42205,Rosebud Perfume Co.,8.0,Skincare
P376726,tarte,48.0,Skincare
P12336,fresh,64.0,Skincare
P461159,Estée Lauder,115.0,Skincare
P461160,Estée Lauder,19.0,Skincare
P461933,Estée Lauder,195.0,Skincare
P266126,Rosebud Perfume Co.,7.0,Skincare
P427536,Tatcha,40.0,Skincare
P504615,Tatcha,18.0,Skincare
P440307,Youth To The People,52.0,Skincare
P461555,Youth To The People,18.0,Skincare
P422536,Origins,40.0,Skincare
P410400,Sunday Riley,80.0,Skincare
P455676,Wishful,39.0,Skincare
P458216,Wishful,21.0,Skincare
P139000,CLINIQUE,23.5,Skincare
P421243,fresh,19.0,Skincare
P466123,Glow Recipe,35.0,Skincare
P456213,goop,125.0,Skincare
P459299,goop,42.0,Skincare
P381030,CLINIQUE,32.5,Skincare
P427416,The Ordinary,8.9,Skincare
P433887,Biossance,60.0,Skincare
P432829,Youth To The People,58.0,Skincare
P463371,Youth To The People,18.0,Skincare
P427414,The Ordinary,6.5,Skincare
P456218,Supergoop!,38.0,Skincare
P399623,Tatcha,49.0,Skincare
P432668,Drunk Elephant,38.0,Skincare
P283501,Josie Maran,36.0,Skincare
P479734,CLINIQUE,57.0,Skincare
P446938,Drunk Elephant,62.0,Skincare
P164932,Rosebud Perfume Co.,8.0,Skincare
P443845,The INKEY List,9.99,Skincare
P475908,belif,22.0,Skincare
P472454,Caudalie,38.0,Skincare
P434548,Farmacy,60.0,Skincare
P400207,Herbivore,50.0,Skincare
P428819,Glow Recipe,39.0,Skincare
P462699,Glow Recipe,45.0,Skincare
P403818,Drunk Elephant,18.0,Skincare
P500718,CLINIQUE,68.0,Skincare
P447791,Glow Recipe,42.0,Skincare
P500633,fresh,80.0,Skincare
P446930,LANEIGE,33.0,Skincare
P392235,Tatcha,50.0,Skincare
P460512,Tatcha,24.0,Skincare
P415701,Peter Thomas Roth,54.0,Skincare
P415237,First Aid Beauty,32.0,Skincare
P471237,fresh,46.0,Skincare
P500701,Estée Lauder,72.0,Skincare
P418346,Sunday Riley,85.0,Skincare
P448207,OLEHENRIKSEN,52.0,Skincare
P397890,Origins,32.0,Skincare
P405599,tarte,39.0,Skincare
P468351,CLINIQUE,82.0,Skincare
P426340,Tatcha,68.0,Skincare
P476414,Sunday Riley,65.0,Skincare
P297517,Origins,20.0,Skincare
P440312,fresh,56.0,Skincare
P12045,Caudalie,12.0,Skincare
P377561,Peter Thomas Roth,49.0,Skincare
P450917,Peter Thomas Roth,16.0,Skincare
P424948,Sunday Riley,65.0,Skincare
P416816,OLEHENRIKSEN,35.0,Skincare
P453253,MILK MAKEUP,38.0,Skincare
P411388,Youth To The People,48.0,Skincare
P473267,CLINIQUE,71.0,Skincare
P422000,Kiehl's Since 1851,36.0,Skincare
P392245,Drunk Elephant,68.0,Skincare
P440925,Origins,32.0,Skincare
P122774,CLINIQUE,37.0,Skincare
P386197,Origins,27.0,Skincare
P427415,The Ordinary,10.9,Skincare
P174502,CLINIQUE,37.0,Skincare
P439058,Tatcha,89.0,Skincare
P427420,The Ordinary,30.8,Skincare
P39274,Peter Thomas Roth,39.0,Skincare
P449599,Peter Thomas Roth,12.0,Skincare
P400259,Drunk Elephant,78.0,Skincare
P379510,Lancôme,132.0,Skincare
P443840,The INKEY List,10.99,Skincare
P54509,Lancôme,39.0,Skincare
P428250,Peace Out,19.0,Skincare
P447780,Tatcha,62.0,Skincare
P230538,Evian,17.0,Skincare
P443833,The INKEY List,11.99,Skincare
P429242,Shiseido,30.0,Skincare
P114902,Peter Thomas Roth,48.0,Skincare
P442566,Drunk Elephant,36.0,Skincare
P431848,OLEHENRIKSEN,41.0,Skincare
P453825,Lancôme,54.0,Skincare
P402718,Sunday Riley,72.0,Skincare
P447592,Dr. Dennis Gross Skincare,68.0,Skincare
